config_id,phase,mode,seed,source,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_strain_rattle_17,O-FAPI3,strain_rattle,2934708372,O-FAPI3/CONTCAR,48,0.02182929817238107,0,1.0069907095385129,O-FAPI3/O-FAPI3_strain_rattle_17
O-FAPI3_mixed_01,O-FAPI3,mixed,3408005148,O-FAPI3/CONTCAR,48,0.021403154678314742,2,0.9732820340925393,O-FAPI3/O-FAPI3_mixed_01
O-FAPI3_mixed_02,O-FAPI3,mixed,2868466720,O-FAPI3/CONTCAR,48,0.0337030803839477,2,0.914990033100668,O-FAPI3/O-FAPI3_mixed_02
O-FAPI3_mixed_03,O-FAPI3,mixed,888324749,O-FAPI3/CONTCAR,48,0.027393721650228853,4,0.9656107271514901,O-FAPI3/O-FAPI3_mixed_03
O-FAPI3_mixed_04,O-FAPI3,mixed,4012514917,O-FAPI3/CONTCAR,48,0.04622199395074673,2,0.9164295952364329,O-FAPI3/O-FAPI3_mixed_04
O-FAPI3_mixed_05,O-FAPI3,mixed,1195945496,O-FAPI3/CONTCAR,48,0.018649197283829463,3,0.9923364757107237,O-FAPI3/O-FAPI3_mixed_05
O-FAPI3_mixed_06,O-FAPI3,mixed,3513950248,O-FAPI3/CONTCAR,48,0.03836658798379609,3,0.9140332062179083,O-FAPI3/O-FAPI3_mixed_06
O-FAPI3_mixed_07,O-FAPI3,mixed,1231405104,O-FAPI3/CONTCAR,48,0.020486921168703168,1,0.9675716312141148,O-FAPI3/O-FAPI3_mixed_07
O-FAPI3_mixed_08,O-FAPI3,mixed,3909983353,O-FAPI3/CONTCAR,48,0.03235079984076179,2,0.9326183131157234,O-FAPI3/O-FAPI3_mixed_08
O-FAPI3_mixed_09,O-FAPI3,mixed,3185068890,O-FAPI3/CONTCAR,48,0.029864460258176743,4,0.9551956643625685,O-FAPI3/O-FAPI3_mixed_09
O-FAPI3_mixed_10,O-FAPI3,mixed,443631424,O-FAPI3/CONTCAR,48,0.016941166504885453,3,0.9818216029119634,O-FAPI3/O-FAPI3_mixed_10
O-FAPI3_mixed_11,O-FAPI3,mixed,1228369350,O-FAPI3/CONTCAR,48,0.02743066413498868,1,0.9473137538120706,O-FAPI3/O-FAPI3_mixed_11
O-FAPI3_mixed_12,O-FAPI3,mixed,751784079,O-FAPI3/CONTCAR,48,0.0431955853251222,2,0.8324814593151055,O-FAPI3/O-FAPI3_mixed_12
O-FAPI3_mixed_13,O-FAPI3,mixed,532421674,O-FAPI3/CONTCAR,48,0.03146169059498413,3,0.9714707957115131,O-FAPI3/O-FAPI3_mixed_13
O-FAPI3_mixed_14,O-FAPI3,mixed,662156461,O-FAPI3/CONTCAR,48,0.03373889177356661,3,0.96042682862898,O-FAPI3/O-FAPI3_mixed_14
O-FAPI3_mixed_15,O-FAPI3,mixed,657797681,O-FAPI3/CONTCAR,48,0.029221168632672986,2,0.9557495546318785,O-FAPI3/O-FAPI3_mixed_15
O-FAPI3_mixed_16,O-FAPI3,mixed,297949624,O-FAPI3/CONTCAR,48,0.015382471167356216,4,0.9763294952326155,O-FAPI3/O-FAPI3_mixed_16
