config_id,phase,family,distortion_label,severity,seed,seed_origin,seed_origin_config_id,minimum_distance_A,directory
t-FAPI3_al_combined_10__combined_strain_rattle_fa_rotation__sev-0.352__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.352,706835477,new,,0.9800197564526092,t-FAPI3/t-FAPI3_al_combined_10__combined_strain_rattle_fa_rotation__sev-0.352__seed-new
t-FAPI3_al_combined_11__combined_strain_rattle_fa_rotation__sev-0.368__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.368,1196564739,new,,0.8498162767677674,t-FAPI3/t-FAPI3_al_combined_11__combined_strain_rattle_fa_rotation__sev-0.368__seed-new
t-FAPI3_al_combined_12__combined_strain_rattle_fa_rotation__sev-0.384__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.384,1973722922,new,,0.8603459698160589,t-FAPI3/t-FAPI3_al_combined_12__combined_strain_rattle_fa_rotation__sev-0.384__seed-new
t-FAPI3_al_combined_13__combined_strain_rattle_fa_rotation__sev-0.400__seed-parity,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4,4125719901,parity,t-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6,0.9508533001820426,t-FAPI3/t-FAPI3_al_combined_13__combined_strain_rattle_fa_rotation__sev-0.400__seed-parity
t-FAPI3_al_combined_14__combined_strain_rattle_fa_rotation__sev-0.416__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.416,1014259289,new,,0.953007075750806,t-FAPI3/t-FAPI3_al_combined_14__combined_strain_rattle_fa_rotation__sev-0.416__seed-new
t-FAPI3_al_combined_15__combined_strain_rattle_fa_rotation__sev-0.432__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.432,1252557385,new,,0.8231922078744864,t-FAPI3/t-FAPI3_al_combined_15__combined_strain_rattle_fa_rotation__sev-0.432__seed-new
t-FAPI3_al_combined_16__combined_strain_rattle_fa_rotation__sev-0.448__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.448,3383612812,new,,0.9241043301746001,t-FAPI3/t-FAPI3_al_combined_16__combined_strain_rattle_fa_rotation__sev-0.448__seed-new
t-FAPI3_al_combined_17__combined_strain_rattle_fa_rotation__sev-0.464__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.464,3598747751,new,,0.8627629932519153,t-FAPI3/t-FAPI3_al_combined_17__combined_strain_rattle_fa_rotation__sev-0.464__seed-new
t-FAPI3_al_combined_18__combined_strain_rattle_fa_rotation__sev-0.480__seed-parity,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.48,1565246092,parity,t-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8,0.7823092844930475,t-FAPI3/t-FAPI3_al_combined_18__combined_strain_rattle_fa_rotation__sev-0.480__seed-parity
t-FAPI3_al_combined_19__combined_strain_rattle_fa_rotation__sev-0.496__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.496,1075243148,new,,0.8278068235097175,t-FAPI3/t-FAPI3_al_combined_19__combined_strain_rattle_fa_rotation__sev-0.496__seed-new
t-FAPI3_al_combined_20__combined_strain_rattle_fa_rotation__sev-0.512__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.512,2301741196,new,,0.8975213854985262,t-FAPI3/t-FAPI3_al_combined_20__combined_strain_rattle_fa_rotation__sev-0.512__seed-new
t-FAPI3_al_combined_21__combined_strain_rattle_fa_rotation__sev-0.528__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.528,3324483476,new,,0.9949555165038335,t-FAPI3/t-FAPI3_al_combined_21__combined_strain_rattle_fa_rotation__sev-0.528__seed-new
t-FAPI3_al_combined_22__combined_strain_rattle_fa_rotation__sev-0.544__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.544,403052389,new,,0.7442260708368827,t-FAPI3/t-FAPI3_al_combined_22__combined_strain_rattle_fa_rotation__sev-0.544__seed-new
t-FAPI3_al_combined_23__combined_strain_rattle_fa_rotation__sev-0.560__seed-parity,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.56,2401096036,parity,t-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0,0.9241100454043958,t-FAPI3/t-FAPI3_al_combined_23__combined_strain_rattle_fa_rotation__sev-0.560__seed-parity
t-FAPI3_al_combined_24__combined_strain_rattle_fa_rotation__sev-0.576__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.576,3141299006,new,,0.6877540156894351,t-FAPI3/t-FAPI3_al_combined_24__combined_strain_rattle_fa_rotation__sev-0.576__seed-new
t-FAPI3_al_combined_25__combined_strain_rattle_fa_rotation__sev-0.592__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.592,2964556346,new,,0.9041964136412042,t-FAPI3/t-FAPI3_al_combined_25__combined_strain_rattle_fa_rotation__sev-0.592__seed-new
O-FAPI3_al_global_rattle_01__global_rattle__sev-0.207__seed-new,O-FAPI3,global_rattle,global_rattle,0.206667,3286072468,new,,0.9137270490496557,O-FAPI3/O-FAPI3_al_global_rattle_01__global_rattle__sev-0.207__seed-new
O-FAPI3_al_global_rattle_02__global_rattle__sev-0.220__seed-new,O-FAPI3,global_rattle,global_rattle,0.22,59990964,new,,0.7892576767156039,O-FAPI3/O-FAPI3_al_global_rattle_02__global_rattle__sev-0.220__seed-new
O-FAPI3_al_global_rattle_03__global_rattle__sev-0.233__seed-parity,O-FAPI3,global_rattle,global_rattle,0.233333,1508704073,parity,O-FAPI3_parity_11__global_rattle__sev-0.1,0.8467073149663635,O-FAPI3/O-FAPI3_al_global_rattle_03__global_rattle__sev-0.233__seed-parity
O-FAPI3_al_global_rattle_04__global_rattle__sev-0.247__seed-new,O-FAPI3,global_rattle,global_rattle,0.246667,1347997030,new,,0.8251339085881598,O-FAPI3/O-FAPI3_al_global_rattle_04__global_rattle__sev-0.247__seed-new
O-FAPI3_al_global_rattle_05__global_rattle__sev-0.260__seed-new,O-FAPI3,global_rattle,global_rattle,0.26,4204536852,new,,0.8392124087299455,O-FAPI3/O-FAPI3_al_global_rattle_05__global_rattle__sev-0.260__seed-new
O-FAPI3_al_global_rattle_06__global_rattle__sev-0.273__seed-new,O-FAPI3,global_rattle,global_rattle,0.273333,4267185352,new,,0.8682896684002573,O-FAPI3/O-FAPI3_al_global_rattle_06__global_rattle__sev-0.273__seed-new
O-FAPI3_al_global_rattle_07__global_rattle__sev-0.287__seed-new,O-FAPI3,global_rattle,global_rattle,0.286667,1093906172,new,,0.8415039789137224,O-FAPI3/O-FAPI3_al_global_rattle_07__global_rattle__sev-0.287__seed-new
O-FAPI3_al_global_rattle_08__global_rattle__sev-0.300__seed-parity,O-FAPI3,global_rattle,global_rattle,0.3,629855035,parity,O-FAPI3_parity_12__global_rattle__sev-0.2,0.8468077902454675,O-FAPI3/O-FAPI3_al_global_rattle_08__global_rattle__sev-0.300__seed-parity
O-FAPI3_al_global_rattle_09__global_rattle__sev-0.313__seed-new,O-FAPI3,global_rattle,global_rattle,0.313333,936175226,new,,0.8701892151983551,O-FAPI3/O-FAPI3_al_global_rattle_09__global_rattle__sev-0.313__seed-new
O-FAPI3_al_global_rattle_10__global_rattle__sev-0.327__seed-new,O-FAPI3,global_rattle,global_rattle,0.326667,2091820721,new,,0.8419944478682776,O-FAPI3/O-FAPI3_al_global_rattle_10__global_rattle__sev-0.327__seed-new
O-FAPI3_al_global_rattle_11__global_rattle__sev-0.340__seed-new,O-FAPI3,global_rattle,global_rattle,0.34,3791404926,new,,0.8512987843426529,O-FAPI3/O-FAPI3_al_global_rattle_11__global_rattle__sev-0.340__seed-new
O-FAPI3_al_global_rattle_12__global_rattle__sev-0.353__seed-new,O-FAPI3,global_rattle,global_rattle,0.353333,493801276,new,,0.8320990394426241,O-FAPI3/O-FAPI3_al_global_rattle_12__global_rattle__sev-0.353__seed-new
O-FAPI3_al_global_rattle_13__global_rattle__sev-0.367__seed-parity,O-FAPI3,global_rattle,global_rattle,0.366667,2252567379,parity,O-FAPI3_parity_15__global_rattle__sev-0.5,0.7886113918720956,O-FAPI3/O-FAPI3_al_global_rattle_13__global_rattle__sev-0.367__seed-parity
O-FAPI3_al_global_rattle_14__global_rattle__sev-0.380__seed-new,O-FAPI3,global_rattle,global_rattle,0.38,294968988,new,,0.8721173024364688,O-FAPI3/O-FAPI3_al_global_rattle_14__global_rattle__sev-0.380__seed-new
O-FAPI3_al_global_rattle_15__global_rattle__sev-0.393__seed-new,O-FAPI3,global_rattle,global_rattle,0.393333,757039206,new,,0.860507581777918,O-FAPI3/O-FAPI3_al_global_rattle_15__global_rattle__sev-0.393__seed-new
O-FAPI3_al_global_rattle_16__global_rattle__sev-0.407__seed-new,O-FAPI3,global_rattle,global_rattle,0.406667,3440528164,new,,0.8546310966937912,O-FAPI3/O-FAPI3_al_global_rattle_16__global_rattle__sev-0.407__seed-new
O-FAPI3_al_global_rattle_17__global_rattle__sev-0.420__seed-new,O-FAPI3,global_rattle,global_rattle,0.42,2917967121,new,,0.8688413370826185,O-FAPI3/O-FAPI3_al_global_rattle_17__global_rattle__sev-0.420__seed-new
O-FAPI3_al_global_rattle_18__global_rattle__sev-0.433__seed-parity,O-FAPI3,global_rattle,global_rattle,0.433333,3081827767,parity,O-FAPI3_parity_16__global_rattle__sev-0.6,0.7270411210310779,O-FAPI3/O-FAPI3_al_global_rattle_18__global_rattle__sev-0.433__seed-parity
O-FAPI3_al_global_rattle_19__global_rattle__sev-0.447__seed-new,O-FAPI3,global_rattle,global_rattle,0.446667,1576694811,new,,0.8350017440159041,O-FAPI3/O-FAPI3_al_global_rattle_19__global_rattle__sev-0.447__seed-new
O-FAPI3_al_global_rattle_20__global_rattle__sev-0.460__seed-new,O-FAPI3,global_rattle,global_rattle,0.46,4111103319,new,,0.8141767213348495,O-FAPI3/O-FAPI3_al_global_rattle_20__global_rattle__sev-0.460__seed-new
O-FAPI3_al_global_rattle_21__global_rattle__sev-0.473__seed-new,O-FAPI3,global_rattle,global_rattle,0.473333,2951562092,new,,0.7991556441244001,O-FAPI3/O-FAPI3_al_global_rattle_21__global_rattle__sev-0.473__seed-new
O-FAPI3_al_global_rattle_22__global_rattle__sev-0.487__seed-new,O-FAPI3,global_rattle,global_rattle,0.486667,2136075623,new,,0.8855390155408078,O-FAPI3/O-FAPI3_al_global_rattle_22__global_rattle__sev-0.487__seed-new
O-FAPI3_al_global_rattle_23__global_rattle__sev-0.500__seed-parity,O-FAPI3,global_rattle,global_rattle,0.5,3391614287,parity,O-FAPI3_parity_18__global_rattle__sev-0.8,0.8131527012257331,O-FAPI3/O-FAPI3_al_global_rattle_23__global_rattle__sev-0.500__seed-parity
O-FAPI3_al_global_rattle_24__global_rattle__sev-0.513__seed-new,O-FAPI3,global_rattle,global_rattle,0.513333,3366644633,new,,0.7182915532971349,O-FAPI3/O-FAPI3_al_global_rattle_24__global_rattle__sev-0.513__seed-new
O-FAPI3_al_global_rattle_25__global_rattle__sev-0.527__seed-new,O-FAPI3,global_rattle,global_rattle,0.526667,2321733110,new,,0.699202869319772,O-FAPI3/O-FAPI3_al_global_rattle_25__global_rattle__sev-0.527__seed-new
O-FAPI3_al_global_rattle_26__global_rattle__sev-0.540__seed-new,O-FAPI3,global_rattle,global_rattle,0.54,2895524826,new,,0.7025341838272504,O-FAPI3/O-FAPI3_al_global_rattle_26__global_rattle__sev-0.540__seed-new
O-FAPI3_al_global_rattle_27__global_rattle__sev-0.553__seed-new,O-FAPI3,global_rattle,global_rattle,0.553333,1745376292,new,,0.8139007753105372,O-FAPI3/O-FAPI3_al_global_rattle_27__global_rattle__sev-0.553__seed-new
